temperatura,presion,vf,uf,hf,sf
0.01,0.6117,0.001,0,0.001,0
5,0.8725,0.001,21.019,21.02,0.0763
10,1.2281,0.001,42.02,42.022,0.1511
15,1.7057,0.001001,62.98,62.982,0.2245
20,2.3392,0.001002,83.913,83.915,0.2965
25,3.1698,0.001003,104.83,104.83,0.3672
30,4.2469,0.001004,125.73,125.74,0.4368
35,5.6291,0.001006,146.63,146.64,0.5051
40,7.3851,0.001008,167.53,167.53,0.5724
45,9.5953,0.00101,188.43,188.44,0.6386
50,12.352,0.001012,209.33,209.34,0.7038
55,15.763,0.001015,230.24,230.26,0.768
60,19.947,0.001017,251.16,251.18,0.8313
65,25.043,0.00102,272.09,272.12,0.8937
70,31.202,0.001023,293.04,293.07,0.9551
75,38.597,0.001026,313.99,314.03,1.0158
80,47.416,0.001029,334.97,335.02,1.0756
85,57.868,0.001032,355.96,356.02,1.1346
90,70.183,0.001036,376.97,377.04,1.1929
95,84.609,0.00104,398,398.09,1.2504
100,101.42,0.001043,419.06,419.17,1.3072
105,120.9,0.001047,440.15,440.28,1.3634
110,143.38,0.001052,461.27,461.42,1.4188
115,169.18,0.001056,482.42,482.59,1.4737
120,198.67,0.00106,503.6,503.81,1.5279
125,232.23,0.001065,524.83,525.07,1.5816
130,270.28,0.00107,546.1,546.38,1.6346
135,313.22,0.001075,567.41,567.75,1.6872
140,361.53,0.00108,588.77,589.16,1.7392
145,415.68,0.001085,610.19,610.64,1.7908
150,476.16,0.001091,631.66,632.18,1.8418
155,543.49,0.001096,653.19,653.79,1.8924
160,618.23,0.001102,674.79,675.47,1.9426
165,700.93,0.001108,696.46,697.24,1.9923
170,792.18,0.001114,718.2,719.08,2.0417
175,892.6,0.001121,740.02,741.02,2.0906
180,1002.8,0.001127,761.92,763.05,2.1392
185,1123.5,0.001134,783.91,785.19,2.1875
190,1255.2,0.001141,806,807.43,2.2355
195,1398.8,0.001149,828.18,829.78,2.2831
200,1554.9,0.001157,850.46,852.26,2.3305
205,1724.3,0.001164,872.86,874.87,2.3776
210,1907.7,0.001173,895.38,897.61,2.4245
215,2105.9,0.001181,918.02,920.5,2.4712
220,2319.6,0.00119,940.79,943.55,2.5176
225,2549.7,0.001199,963.7,966.76,2.5639
230,2797.1,0.001209,986.76,990.14,2.61
235,3062.6,0.001219,1010,1013.7,2.656
240,3347,0.001229,1033.4,1037.5,2.7018
245,3651.2,0.00124,1056.9,1061.5,2.7476
250,3976.2,0.001252,1080.7,1085.7,2.7933
255,4322.9,0.001263,1104.7,1110.1,2.839
260,4692.3,0.001276,1128.8,1134.8,2.8847
265,5085.3,0.001289,1153.3,1159.8,2.9304
270,5503,0.001303,1177.9,1185.1,2.9762
275,5946.4,0.001317,1202.9,1210.7,3.0221
280,6416.6,0.001333,1228.2,1236.7,3.0681
285,6914.6,0.001349,1253.7,1263.1,3.1144
290,7441.8,0.001366,1279.7,1289.8,3.1608
295,7999,0.001384,1306,1317.1,3.2076
300,8587.9,0.001404,1332.7,1344.8,3.2548
305,9209.4,0.001425,1360,1373.1,3.3024
310,9865,0.001447,1387.7,1402,3.3506
315,10556,0.001472,1416.1,1431.6,3.3994
320,11284,0.001499,1445.1,1462,3.4491
325,12051,0.001528,1475,1493.4,3.4998
330,12858,0.00156,1505.7,1525.8,3.5516
335,13707,0.001597,1537.5,1559.4,3.605
340,14601,0.001638,1570.7,1594.6,3.6602
345,15541,0.001685,1605.5,1631.7,3.7179
350,16529,0.001741,1642.4,1671.2,3.7788
355,17570,0.001808,1682.2,1714,3.8442
360,18666,0.001895,1726.2,1761.5,3.9165
365,19822,0.002015,1777.2,1817.2,4.0004
370,21044,0.002217,1844.5,1891.2,4.1119
373.95,22064,0.003106,2015.7,2084.3,4.407
