temperatura,presion,vf,vfg,vg,uf,ufg,ug,hf,hfg,hg,sf,sfg,sg
0.01,0.6117,0.001,205.999,206,0,2374.9,2374.9,0.001,2500.9,2500.901,0,9.1556,9.1556
5,0.8725,0.001,147.029,147.03,21.019,2360.8,2381.819,21.02,2489.1,2510.12,0.0763,8.9487,9.025
10,1.2281,0.001,106.319,106.32,42.02,2346.6,2388.62,42.022,2477.2,2519.222,0.1511,8.7488,8.8999
15,1.7057,0.001001,77.883999,77.885,62.98,2332.5,2395.48,62.982,2465.4,2528.382,0.2245,8.5559,8.7804
20,2.3392,0.001002,57.760998,57.762,83.913,2318.4,2402.313,83.915,2453.5,2537.415,0.2965,8.3696,8.6661
25,3.1698,0.001003,43.338997,43.34,104.83,2304.3,2409.13,104.83,2441.7,2546.53,0.3672,8.1895,8.5567
30,4.2469,0.001004,32.877996,32.879,125.73,2290.2,2415.93,125.74,2429.8,2555.54,0.4368,8.0152,8.452
35,5.6291,0.001006,25.203994,25.205,146.63,2276,2422.63,146.64,2417.9,2564.54,0.5051,7.8466,8.3517
40,7.3851,0.001008,19.513992,19.515,167.53,2261.9,2429.43,167.53,2406,2573.53,0.5724,7.6832,8.2556
45,9.5953,0.00101,15.24999,15.251,188.43,2247.7,2436.13,188.44,2394,2582.44,0.6386,7.5247,8.1633
50,12.352,0.001012,12.024988,12.026,209.33,2233.4,2442.73,209.34,2382,2591.34,0.7038,7.371,8.0748
55,15.763,0.001015,9.562885,9.5639,230.24,2219.1,2449.34,230.26,2369.8,2600.06,0.768,7.2218,7.9898
60,19.947,0.001017,7.665983,7.667,251.16,2204.7,2455.86,251.18,2357.7,2608.88,0.8313,7.0769,7.9082
65,25.043,0.00102,6.19248,6.1935,272.09,2190.3,2462.39,272.12,2345.4,2617.52,0.8937,6.936,7.8297
70,31.202,0.001023,5.038577,5.0396,293.04,2175.8,2468.84,293.07,2333,2626.07,0.9551,6.7989,7.754
75,38.597,0.001026,4.128074,4.1291,313.99,2161.3,2475.29,314.03,2320.6,2634.63,1.0158,6.6655,7.6813
80,47.416,0.001029,3.404271,3.4053,334.97,2146.6,2481.57,335.02,2308,2643.02,1.0756,6.5355,7.6111
85,57.868,0.001032,2.825068,2.8261,355.96,2131.9,2487.86,356.02,2295.3,2651.32,1.1346,6.4089,7.5435
90,70.183,0.001036,2.358264,2.3593,376.97,2117,2493.97,377.04,2282.5,2659.54,1.1929,6.2853,7.4782
95,84.609,0.00104,1.97976,1.9808,398,2102,2500,398.09,2269.6,2667.69,1.2504,6.1647,7.4151
100,101.42,0.001043,1.670957,1.672,419.06,2087,2506.06,419.17,2256.4,2675.57,1.3072,6.047,7.3542
