presion,temperatura,vf,uf,hf,sf
1.0,6.97,0.001,29.302,29.303,0.1059
1.5,13.02,0.001001,54.686,54.688,0.1956
2.0,17.5,0.001001,73.431,73.433,0.2606
2.5,21.08,0.001002,88.422,88.424,0.3118
3.0,24.08,0.001003,100.98,100.98,0.3543
4.0,28.96,0.001004,121.39,121.39,0.4224
5.0,32.87,0.001005,137.75,137.75,0.4762
7.5,40.29,0.001008,168.74,168.75,0.5763
10.0,45.81,0.00101,191.79,191.81,0.6492
15.0,53.97,0.001014,225.93,225.94,0.7549
20.0,60.06,0.001017,251.4,251.42,0.832
25.0,64.96,0.00102,271.93,271.96,0.8932
30.0,69.09,0.001022,289.24,289.27,0.9441
40.0,75.86,0.001026,317.58,317.62,1.0261
50.0,81.32,0.00103,340.49,340.54,1.0912
75.0,91.76,0.001037,384.36,384.44,1.2132
100.0,99.61,0.001043,417.4,417.51,1.3028
101.325,99.97,0.001043,418.95,419.06,1.3069
125.0,105.97,0.001048,444.23,444.36,1.3741
150.0,111.35,0.001053,466.97,467.13,1.4337
175.0,116.04,0.001057,486.82,487.01,1.485
200.0,120.21,0.001061,504.5,504.71,1.5302
225.0,123.97,0.001064,520.47,520.71,1.5706
250.0,127.41,0.001067,535.08,535.35,1.6072
275.0,130.58,0.00107,548.57,548.86,1.6408
300.0,133.52,0.001073,561.11,561.43,1.6717
325.0,136.27,0.001076,572.84,573.19,1.7005
350.0,138.86,0.001079,583.89,584.26,1.7274
375.0,141.3,0.001081,594.32,594.73,1.7526
400.0,143.61,0.001084,604.22,604.66,1.7765
450.0,147.9,0.001088,622.65,623.14,1.8205
500.0,151.83,0.001093,639.54,640.09,1.8604
550.0,155.46,0.001097,655.16,655.77,1.897
600.0,158.83,0.001101,669.72,670.38,1.9308
650.0,161.98,0.001104,683.37,684.08,1.9623
700.0,164.95,0.001108,696.23,697.0,1.9918
750.0,167.75,0.001111,708.4,709.24,2.0195
800.0,170.41,0.001115,719.97,720.87,2.0457
850.0,172.94,0.001118,731.0,731.95,2.0705
900.0,175.35,0.001121,741.55,742.56,2.0941
950.0,177.66,0.001124,751.67,752.74,2.1166
1000.0,179.88,0.001127,761.39,762.51,2.1381
1100.0,184.06,0.001133,779.78,781.03,2.1785
1200.0,187.96,0.001138,796.96,798.33,2.2159
1300.0,191.6,0.001144,813.1,814.59,2.2508
1400.0,195.04,0.001149,828.35,829.96,2.2835
1500.0,198.29,0.001154,842.82,844.55,2.3143
1750.0,205.72,0.001166,876.12,878.16,2.3844
2000.0,212.38,0.001177,906.12,908.47,2.4467
2250.0,218.41,0.001187,933.54,936.21,2.5029
2500.0,223.95,0.001197,958.87,961.87,2.5542
3000.0,233.85,0.001217,1004.6,1008.3,2.6454
3500.0,242.56,0.001235,1045.4,1049.7,2.7253
4000.0,250.35,0.001252,1082.4,1087.4,2.7966
5000.0,263.94,0.001286,1148.1,1154.5,2.9207
6000.0,275.59,0.001319,1205.8,1213.8,3.0275
7000.0,285.83,0.001352,1258.0,1267.5,3.122
8000.0,295.01,0.001384,1306.0,1317.1,3.2077
9000.0,303.35,0.001418,1350.9,1363.7,3.2866
10000.0,311.0,0.001452,1393.3,1407.8,3.3603
11000.0,318.08,0.001488,1433.9,1450.2,3.4299
12000.0,324.68,0.001526,1473.0,1491.3,3.4964
13000.0,330.85,0.001566,1511.0,1531.4,3.5606
14000.0,336.67,0.00161,1548.4,1571.0,3.6232
15000.0,342.16,0.001657,1585.5,1610.3,3.6848
16000.0,347.36,0.00171,1622.6,1649.9,3.7461
17000.0,352.29,0.00177,1660.2,1690.3,3.8082
18000.0,356.99,0.00184,1699.1,1732.2,3.872
19000.0,361.47,0.001926,1740.3,1776.8,3.9396
20000.0,365.75,0.002038,1785.8,1826.6,4.0146
21000.0,369.83,0.002207,1841.6,1888.0,4.1071
22000.0,373.71,0.002703,1951.7,2011.1,4.2942
22064.0,373.95,0.003106,2015.7,2084.3,4.407
