presion,temperatura,vg,ug,hg,sg
1.0,6.97,129.19,2384.5,2513.7,8.9749
1.5,13.02,87.964,2392.8,2524.7,8.827
2.0,17.5,66.99,2398.9,2532.9,8.7227
2.5,21.08,54.242,2403.8,2539.4,8.6421
3.0,24.08,45.654,2407.9,2544.8,8.5765
4.0,28.96,34.791,2414.5,2553.7,8.4734
5.0,32.87,28.185,2419.8,2560.7,8.3938
7.5,40.29,19.233,2429.8,2574.0,8.2501
10.0,45.81,14.67,2437.2,2583.9,8.1488
15.0,53.97,10.02,2448.0,2598.3,8.0071
20.0,60.06,7.6481,2456.0,2608.9,7.9073
25.0,64.96,6.2034,2462.4,2617.5,7.8302
30.0,69.09,5.2287,2467.7,2624.6,7.7675
40.0,75.86,3.9933,2476.3,2636.1,7.6691
50.0,81.32,3.2403,2483.2,2645.2,7.5931
75.0,91.76,2.2172,2496.1,2662.4,7.4558
100.0,99.61,1.6941,2505.6,2675.0,7.3589
101.325,99.97,1.6734,2506.0,2675.6,7.3545
125.0,105.97,1.375,2513.0,2684.9,7.2841
150.0,111.35,1.1594,2519.2,2693.1,7.2231
175.0,116.04,1.0037,2524.5,2700.2,7.1716
200.0,120.21,0.88578,2529.1,2706.3,7.127
225.0,123.97,0.79329,2533.2,2711.7,7.0877
250.0,127.41,0.71873,2536.8,2716.5,7.0525
275.0,130.58,0.65732,2540.1,2720.9,7.0207
300.0,133.52,0.60582,2543.2,2724.9,6.9917
325.0,136.27,0.56199,2545.9,2728.6,6.965
350.0,138.86,0.52422,2548.5,2732.0,6.9402
375.0,141.3,0.49133,2550.9,2735.1,6.9171
400.0,143.61,0.46242,2553.1,2738.1,6.8955
450.0,147.9,0.41392,2557.1,2743.4,6.8561
500.0,151.83,0.37483,2560.7,2748.1,6.8207
550.0,155.46,0.34261,2563.9,2752.4,6.7886
600.0,158.83,0.3156,2566.8,2756.2,6.7593
650.0,161.98,0.2926,2569.4,2759.6,6.7322
700.0,164.95,0.27278,2571.8,2762.8,6.7071
750.0,167.75,0.25552,2574.0,2765.7,6.6837
800.0,170.41,0.24035,2576.0,2768.3,6.6616
850.0,172.94,0.2269,2577.9,2770.8,6.6409
900.0,175.35,0.21489,2579.6,2773.0,6.6213
950.0,177.66,0.20411,2581.3,2775.2,6.6027
1000.0,179.88,0.19436,2582.8,2777.1,6.585
1100.0,184.06,0.17745,2585.5,2780.7,6.552
1200.0,187.96,0.16326,2587.8,2783.8,6.5217
1300.0,191.6,0.15119,2589.9,2786.5,6.4936
1400.0,195.04,0.14078,2591.8,2788.9,6.4675
1500.0,198.29,0.13171,2593.4,2791.0,6.443
1750.0,205.72,0.11344,2596.7,2795.2,6.3877
2000.0,212.38,0.099587,2599.1,2798.3,6.339
2250.0,218.41,0.088717,2600.9,2800.5,6.2954
2500.0,223.95,0.079952,2602.1,2801.9,6.2558
3000.0,233.85,0.066667,2603.2,2803.2,6.1856
3500.0,242.56,0.057061,2603.0,2802.7,6.1244
4000.0,250.35,0.049779,2601.7,2800.8,6.0696
5000.0,263.94,0.039448,2597.0,2794.2,5.9737
6000.0,275.59,0.032449,2589.9,2784.6,5.8902
7000.0,285.83,0.027378,2581.0,2772.6,5.8148
8000.0,295.01,0.023525,2570.5,2758.7,5.745
9000.0,303.35,0.020489,2558.5,2742.9,5.6791
10000.0,311.0,0.018028,2545.2,2725.5,5.6159
11000.0,318.08,0.015988,2530.4,2706.3,5.5544
12000.0,324.68,0.014264,2514.3,2685.4,5.4939
13000.0,330.85,0.012781,2496.6,2662.7,5.4336
14000.0,336.67,0.011487,2477.1,2637.9,5.3728
15000.0,342.16,0.010341,2455.7,2610.8,5.3108
16000.0,347.36,0.009312,2432.0,2581.0,5.2466
17000.0,352.29,0.008374,2405.4,2547.7,5.1791
18000.0,356.99,0.007504,2375.0,2510.0,5.1064
19000.0,361.47,0.006677,2339.2,2466.0,5.0256
20000.0,365.75,0.005862,2294.8,2412.1,4.931
21000.0,369.83,0.004994,2233.5,2338.4,4.8076
22000.0,373.71,0.003644,2092.4,2172.6,4.5439
22064.0,373.95,0.003106,2015.7,2084.3,4.407
