temperatura,presion,Vg,Ug,hg,sg
0.01,0.6117,206,2374.9,2500.9,9.1556
5,0.8725,147.03,2381.8,2510.1,9.0249
10,1.2281,106.32,2388.7,2519.2,8.8999
15,1.7057,77.885,2395.5,2528.3,8.7803
20,2.3392,57.762,2402.3,2537.4,8.6661
25,3.1698,43.34,2409.1,2546.5,8.5567
30,4.2469,32.879,2415.9,2555.6,8.452
35,5.6291,25.205,2422.7,2564.6,8.3517
40,7.3851,19.515,2429.4,2573.5,8.2556
45,9.5953,15.251,2436.1,2582.4,8.1633
50,12.352,12.026,2442.7,2591.3,8.0748
55,15.763,9.5639,2449.3,2600.1,7.9898
60,19.947,7.667,2455.9,2608.8,7.9082
65,25.043,6.1935,2462.4,2617.5,7.8296
70,31.202,5.0396,2468.9,2626.1,7.754
75,38.597,4.1291,2475.3,2634.6,7.6812
80,47.416,3.4053,2481.6,2643,7.6111
85,57.868,2.8261,2487.8,2651.4,7.5435
90,70.183,2.3593,2494,2659.6,7.4782
95,84.609,1.9808,2500.1,2667.6,7.4151
100,101.42,1.672,2506,2675.6,7.3542
105,120.9,1.4186,2511.9,2683.4,7.2952
110,143.38,1.2094,2517.7,2691.1,7.2382
115,169.18,1.036,2523.3,2698.6,7.1829
120,198.67,0.89133,2528.9,2706,7.1292
125,232.23,0.77012,2534.3,2713.1,7.0771
130,270.28,0.66808,2539.5,2720.1,7.0265
135,313.22,0.58179,2544.7,2726.9,6.9773
140,361.53,0.5085,2549.6,2733.5,6.9294
145,415.68,0.446,2554.4,2739.8,6.8827
150,476.16,0.39248,2559.1,2745.9,6.8371
155,543.49,0.34648,2563.5,2751.8,6.7927
160,618.23,0.3068,2567.8,2757.5,6.7492
165,700.93,0.27244,2571.9,2762.8,6.7067
170,792.18,0.2426,2575.7,2767.9,6.665
175,892.6,0.21659,2579.4,2772.7,6.6242
180,1002.8,0.19384,2582.8,2777.2,6.5841
185,1123.5,0.1739,2586,2781.4,6.5447
190,1255.2,0.15636,2589,2785.3,6.5059
195,1398.8,0.14089,2591.7,2788.8,6.4678
200,1554.9,0.12721,2594.2,2792,6.4302
205,1724.3,0.11508,2596.4,2794.8,6.393
210,1907.7,0.10429,2598.3,2797.3,6.3563
215,2105.9,0.09468,2599.9,2799.3,6.32
220,2319.6,0.086094,2601.3,2801,6.284
225,2549.7,0.078405,2602.3,2802.2,6.2483
230,2797.1,0.071505,2602.9,2802.9,6.2128
235,3062.6,0.0653,2603.2,2803.2,6.1775
240,3347,0.059707,2603.1,2803,6.1424
245,3651.2,0.054656,2602.7,2802.2,6.1072
250,3976.2,0.050085,2601.8,2801,6.0721
255,4322.9,0.045941,2600.5,2799.1,6.0369
260,4692.3,0.042175,2598.7,2796.6,6.0017
265,5085.3,0.038748,2596.5,2793.5,5.9662
270,5503,0.035622,2593.7,2789.7,5.9305
275,5946.4,0.032767,2590.3,2785.2,5.8944
280,6416.6,0.030153,2586.4,2779.9,5.8579
285,6914.6,0.027756,2581.8,2773.7,5.821
290,7441.8,0.025554,2576.5,2766.7,5.7834
295,7999,0.023528,2570.5,2758.7,5.745
300,8587.9,0.021659,2563.6,2749.6,5.7059
305,9209.4,0.019932,2555.8,2739.4,5.6657
310,9865,0.018333,2547.1,2727.9,5.6243
315,10556,0.016849,2537.2,2715,5.5816
320,11284,0.01547,2526,2700.6,5.5372
325,12051,0.014183,2513.4,2684.3,5.4908
330,12858,0.012979,2499.2,2666,5.4422
335,13707,0.011848,2483,2645.4,5.3907
340,14601,0.010783,2464.5,2622,5.3358
345,15541,0.009772,2443.2,2595.1,5.2765
350,16529,0.008806,2418.3,2563.9,5.2114
355,17570,0.007872,2388.6,2526.9,5.1384
360,18666,0.00695,2351.9,2481.6,5.0537
365,19822,0.006009,2303.6,2422.7,4.9493
370,21044,0.004953,2230.1,2334.3,4.8009
373.95,22064,0.003106,2015.7,2084.3,4.407
